model,cv_auc,cv_ap,cv_f1,threshold_f1,cv_f1_reg,threshold_reg,cv_objective_reg,pred_pos_rate_reg,target_pos_rate,n_splits
lr_l1_balanced,0.5845996156310057,0.3559739942025411,0.47606382978723405,0.37499999999999994,0.47058823529411764,0.39499999999999996,0.4168449197860963,0.6564171122994652,0.29812834224598933,5
lr_l2_unweighted,0.5600683322656417,0.34614652842609595,0.4682203389830508,0.07,0.45,0.195,0.3950534759358289,0.6644385026737968,0.29812834224598933,5
lr_l2_balanced,0.5590177236814009,0.35040139408572435,0.46616541353383456,0.145,0.4496551724137931,0.33999999999999997,0.3937059745528305,0.6711229946524064,0.29812834224598933,5
sgd_logloss_unweighted,0.544121289771514,0.3229886459339081,0.39603960396039606,0.001,0.39603960396039606,0.001,0.384208053158257,0.3770053475935829,0.29812834224598933,5
sgd_logloss_balanced,0.5246722186632501,0.31100772846139246,0.381294964028777,0.4149999999999999,0.381294964028777,0.4149999999999999,0.35923614049936525,0.4451871657754011,0.29812834224598933,5
blend_mean,0.5692675635276533,0.34217659447613813,0.4758269720101781,0.19,0.4758269720101781,0.19,0.4076451538283599,0.7526737967914439,0.29812834224598933,5
