model,cv_auc,cv_ap,cv_f1,threshold_f1,cv_f1_reg,threshold_reg,cv_objective_reg,pred_pos_rate_reg,target_pos_rate,n_splits
lr_l2_balanced,0.5663549007046764,0.36385096807074613,0.4627659574468085,0.33999999999999997,0.4625668449197861,0.3449999999999999,0.4020053475935829,0.7018716577540107,0.29812834224598933,5
lr_l2_unweighted,0.5687977792013668,0.3623318851333743,0.46683673469387754,0.1768479011393624,0.46254927726675427,0.185,0.3993808280688933,0.7192513368983957,0.29812834224598933,5
lr_l1_balanced,0.5801751014307068,0.3628023250738919,0.468187274909964,0.32999999999999996,0.417910447761194,0.5399999999999999,0.4132981482959534,0.32887700534759357,0.29812834224598933,5
sgd_logloss_unweighted,0.5229126628229768,0.31118843258016377,0.4033898305084746,0.13,0.4033898305084746,0.13,0.374512825160881,0.49064171122994654,0.29812834224598933,5
sgd_logloss_balanced,0.5198547939355114,0.3131131522358831,0.4006849315068493,0.49999999999999994,0.4006849315068493,0.49999999999999994,0.3730111347154055,0.48262032085561496,0.29812834224598933,5
blend_mean,0.5592398035447363,0.3541036022802395,0.46153846153846156,0.18,0.4292682926829268,0.4049999999999999,0.39537791835137603,0.5240641711229946,0.29812834224598933,5
